Loss Label_74_1.tif,0.32
Loss Label_88_152.tif,0.09
Loss Label_113_108.tif,0.04
Loss Label_110_48.tif,0.48
Loss Label_28_28.tif,0.11
Loss Label_60_50.tif,0.05
Loss Label_131_86.tif,0.09
Loss Label_36_112.tif,0.01
Loss Label_2_57.tif,0.25
Loss Label_32_70.tif,0.19
Loss Label_74_25.tif,0.1
Loss Label_125_122.tif,0.02
Loss Label_138_101.tif,0.02
Loss Label_142_68.tif,0.03
Loss Label_41_8.tif,0.1
Loss Label_145_61.tif,0.36
Loss Label_103_34.tif,0.34
Loss Label_31_1.tif,0.53
Loss Label_98_146.tif,0.01
Loss Label_26_106.tif,0.01
Loss Label_35_79.tif,0.22
Loss Label_67_59.tif,0.02
Loss Label_7_134.tif,0.12
Loss Label_117_41.tif,0.53
Loss Label_128_115.tif,0.01
Loss Label_151_14.tif,0.19
Loss Label_135_136.tif,0
Loss Label_69_74.tif,0.08
Loss Label_46_97.tif,0.06
Loss Label_119_78.tif,0.01
Loss Label_21_18.tif,0.09
Loss Label_17_2.tif,0.39
Loss Label_10_138.tif,0
Loss Label_7_120.tif,0.02
Loss Label_46_83.tif,0.11
Loss Label_69_60.tif,0.03
Loss Label_135_122.tif,0.04
Loss Label_128_101.tif,0.01
Loss Label_117_55.tif,0.03
Loss Label_103_20.tif,0
Loss Label_145_75.tif,0.06
Loss Label_103_108.tif,0.06
Loss Label_98_152.tif,0.01
Loss Label_26_112.tif,0
Loss Label_149_149.tif,0
Loss Label_73_38.tif,0.36
Loss Label_52_2.tif,0.35
Loss Label_74_31.tif,0.14
Loss Label_32_64.tif,0.01
Loss Label_98_99.tif,0.07
Loss Label_138_115.tif,0
Loss Label_125_136.tif,0.03
Loss Label_104_29.tif,0
Loss Label_88_146.tif,0.02
Loss Label_131_92.tif,0.01
Loss Label_26_11.tif,0
Loss Label_60_44.tif,0.09
Loss Label_2_43.tif,0.05
Loss Label_36_106.tif,0.1
Loss Label_74_19.tif,0.12
Loss Label_13_82.tif,0.09
Loss Label_142_54.tif,0.04
Loss Label_113_134.tif,0.01
Loss Label_110_74.tif,0.11
Loss Label_28_14.tif,0
Loss Label_26_39.tif,0.57
Loss Label_144_156.tif,0
Loss Label_21_30.tif,0.3
Loss Label_119_50.tif,0.35
